;01/02/2026;Kas masuk ke kas harian dari kas di bank;-;1111;2000000;0
;01/02/2026;Kas masuk ke kas harian dari kas di bank;-;1112;0;2000000
;01/02/2026;Kas bon belanja persediaan;-;1121;2000000;0
;01/02/2026;Kas bon belanja persediaan;-;1111;0;2000000
;01/02/2026;Pelunasan kas bon;-;1111;2000000;0
;01/02/2026;Pelunasan kas bon;-;1121;0;2000000
;01/02/2026;Pelunasan kas bon (transaksi 31/1);-;1111;5000000;0
;01/02/2026;Pelunasan kas bon (transaksi 31/1);-;1121;0;5000000
;01/02/2026;Pembelian 110 anggur ke bu lis;-;1131;5390000;0
;01/02/2026;Pembelian 110 anggur ke bu lis;-;2111;0;5390000
;01/02/2026;Pembelian 95 kelengkeng ke bu lis;-;1131;4607500;0
;01/02/2026;Pembelian 95 kelengkeng ke bu lis;-;2111;0;4607500
;01/02/2026;Pembelian abon ayam 1kg ke bu fitri;-;1131;200000;0
;01/02/2026;Pembelian abon ayam 1kg ke bu fitri;-;2111;0;200000
;01/02/2026;Pembelian persediaan sayur ke bu rini;-;1131;1426000;0
;01/02/2026;Pembelian persediaan sayur ke bu rini;-;2111;0;1426000
;01/02/2026;Pengiriman SPPG Kutabanjarnegara;-;5111;21125000;0
;01/02/2026;Pengiriman SPPG Kutabanjarnegara;-;1131;0;21125000
;01/02/2026;Pengiriman SPPG Kutabanjarnegara;-;1121;23368950;0
;01/02/2026;Pengiriman SPPG Kutabanjarnegara;-;4111;0;23368950
;01/02/2026;Pengiriman SPPG MBS Wanayasa;-;5111;7955600;0
;01/02/2026;Pengiriman SPPG MBS Wanayasa;-;1131;0;7955600
;01/02/2026;Pengiriman SPPG MBS Wanayasa;-;1121;8398500;0
;01/02/2026;Pengiriman SPPG MBS Wanayasa;-;4111;0;8398500
;01/02/2026;Pengiriman SPPG Susukan;-;5111;5277365;0
;01/02/2026;Pengiriman SPPG Susukan;-;1131;0;5277365
;01/02/2026;Pengiriman SPPG Susukan;-;1121;5683500;0
;01/02/2026;Pengiriman SPPG Susukan;-;4111;0;5683500
;01/02/2026;Pelunasan utang ikan dori & bandeng presto pak wandi (pembelian 25-26 januari);-;2111;16657500;0
;01/02/2026;Pelunasan utang ikan dori & bandeng presto pak wandi (pembelian 25-26 januari);-;5221;2500;0
;01/02/2026;Pelunasan utang ikan dori & bandeng presto pak wandi (pembelian 25-26 januari);-;1112;0;16660000
;01/02/2026;Pembelian barang persediaan kentang di solikhah mart;-;1131;42000;0
;01/02/2026;Pembelian barang persediaan kentang di solikhah mart;-;1111;0;42000
;01/02/2026;Pembelian barang persediaan toko al zahra;-;1131;39000;0
;01/02/2026;Pembelian barang persediaan toko al zahra;-;1111;0;39000
;01/02/2026;Pembelian akomodasi makan;-;5171;50000;0
;01/02/2026;Pembelian akomodasi makan;-;1111;0;50000
;01/02/2026;Parkir di purwokerto;-;5191;6000;0
;01/02/2026;Parkir di purwokerto;-;1111;0;6000
;01/02/2026;Parkir di BRI;-;5191;3000;0
;01/02/2026;Parkir di BRI;-;1111;0;3000
;01/02/2026;Pembelian Barang Persediaan di Indogrosir pwt;-;1131;2233770;0
;01/02/2026;Pembelian  Barang Persediaan di Indogrosir pwt;-;1111;0;2233770
;01/02/2026;Pembelian barang persediaan di pasar induk;-;1131;645000;0
;01/02/2026;Pembelian barang persediaan di pasar induk;-;1111;0;645000
;01/02/2026;Pembelian barang persediaan di rita pasar raya;-;1131;483000;0
;01/02/2026;Pembelian barang persediaan di rita pasar raya;-;1111;0;483000
;01/02/2026;Pembelian barang persediaan di P&D Aroma;-;1131;504000;0
;01/02/2026;Pembelian barang persediaan di P&D Aroma;-;1111;0;504000
;01/02/2026;Pembelian barang persediaan di rita pasar raya;-;1131;766900;0
;01/02/2026;Pembelian barang persediaan di rita pasar raya;-;1111;0;766900
;01/02/2026;Parkir di pasar induk;-;5191;4000;0
;01/02/2026;Parkir di pasar induk;-;1111;0;4000
;01/02/2026;Pembelian BBM;-;5172;200000;0
;01/02/2026;Pembelian BBM;-;1111;0;200000
;01/02/2026;Pembelian barang persediaan di toko raja tawon;-;1131;380000;0
;01/02/2026;Pembelian barang persediaan di toko raja tawon;-;1111;0;380000
